clothing_name,situation,color
Green Jeans,Formal,Green
Black Jacket,Work,Black
Purple Blouse,Work,Purple
Pink Skirt,Work,Pink
Pink Dress,Outdoor,Pink
Jeans,Party,White
T-shirt,Wedding,Yellow
Jacket,Party,Red
Blouse,Work,Pink
Blouse,Casual,Yellow
Pants,Outdoor,Pink
Jacket,Work,Red
Skirt,Outdoor,Green
Dress,Outdoor,Yellow
Dress,Outdoor,White
Shirt,Party,White
Shirt,Party,Blue
Skirt,Formal,Blue
Pants,Party,Yellow
T-shirt,Casual,Pink
Blouse,Work,Pink
Skirt,Work,Green
Jacket,Casual,Red
Jeans,Party,Blue
Shirt,Party,Green
Shirt,Work,Blue
Jeans,Outdoor,Purple
Skirt,Wedding,Pink
Blouse,Wedding,Blue
Skirt,Formal,Red
Shirt,Wedding,Black
Jeans,Casual,Purple
Pants,Outdoor,Black
Blouse,Party,Blue
Pants,Work,Green
Skirt,Casual,Yellow
Shirt,Outdoor,White
Pants,Party,Yellow
Blouse,Outdoor,Yellow
T-shirt,Party,Pink
Skirt,Work,White
T-shirt,Formal,White
Jacket,Party,White
Blouse,Outdoor,Green
Shirt,Wedding,Blue
Shirt,Outdoor,White
Pants,Casual,White
T-shirt,Casual,Purple
Jeans,Work,Green
Jacket,Formal,Purple
Jeans,Party,Purple
Jeans,Work,White
Pants,Outdoor,Green
Pants,Wedding,Purple
Blouse,Work,Pink
Dress,Work,Blue
Jacket,Casual,Red
Skirt,Party,Yellow
Pants,Party,Blue
Jacket,Casual,Green
Pants,Party,Purple
Jacket,Work,Pink
Pants,Work,Yellow
Shirt,Work,White
Blouse,Party,Pink
Pants,Work,Red
Shirt,Casual,Green
Jacket,Formal,Green
Blouse,Wedding,Green
Dress,Work,Black
Blouse,Outdoor,Green
Pants,Wedding,Green
Blouse,Wedding,Green
Dress,Formal,Green
Shirt,Party,Black
Shirt,Formal,Blue
Skirt,Casual,White
Skirt,Casual,Black
Pants,Formal,Red
Jeans,Party,Purple
Pants,Wedding,Pink
T-shirt,Outdoor,Pink
Pants,Wedding,Green
Blouse,Wedding,Yellow
Blouse,Work,Blue
Dress,Outdoor,White
Skirt,Formal,Green
Blouse,Party,White
Jacket,Outdoor,Pink
Dress,Party,Pink
Pants,Work,Black
Skirt,Work,Pink
Jeans,Work,Black
Blouse,Wedding,Black
Pants,Outdoor,Blue
Jacket,Party,Black
Blouse,Casual,Purple
Skirt,Party,Blue
T-shirt,Work,Black
Pants,Formal,Yellow
